Urea,Melamine,Dcda,PM(g),Time(h),Heat(℃),HR(℃/min),element1,element2,hata,modefiy,dope,ratio(%),load(g),area(cm2),NO(ppm),rate(mL/min),Xe,Wu,LED,Intensity(W),BET(m2/g),Eg(eV),NO2(%),NO(%)
0,1,0,15.98363235,2.777708767,550,8.476060809,(NH4)2SO4,,0,1,0,1,0.152584588,91.92272455,0.559708321,1840.262201,0,1,0,300,32,2.61,25.69530831,31.9
0,1,0,16.75775069,2.759833706,550,8.102379907,(NH4)2SO4,,0,1,0,1.5,0.154052806,101.1181737,0.554418559,1802.139931,0,1,0,300,59,2.64,26.06667326,34.9
0,1,0,17.14854186,2.657602773,550,7.270477189,(NH4)2SO4,,0,1,0,2.5,0.164871667,105.9179565,0.55282645,1799.643022,0,1,0,300,30,2.53,25.82635913,34.2
0,1,0,13.90818574,2.852249144,550,8.914536092,,,0,0,0,0,0.139627498,87.42262894,0.550778039,2054.87261,0,1,0,300,9,2.5,31.13055639,24.9
1,0,0,10,2,550,15,,,0,0,0,0,0.2,113.1,0.55,2400,0,1,0,150,137,2.44,23.53853193,36.3
1,0,0,10,2,550,15,SrCO3,,0,0,1,2,0.2,113.1,0.55,2400,0,1,0,150,84,2.745758045,21.62602922,43.1
1,0,0,10,2,550,15,SrCO3,,0,0,1,3.33,0.2,113.1,0.55,2400,0,1,0,150,60,2.75475049,20.52987458,49.8
1,0,0,10,2,550,15,SrCO3,,0,0,1,6,0.2,113.1,0.55,2400,0,1,0,150,33,2.765985083,17.84977314,38.8
0,1,0,10,4,550,10,,,0,0,0,0,0.5,113.1,0.55,2400,0,0,1,12,20,2.79,56.05003386,30.67
0,1,0,2.5,4,550,10,NaLa(WO4)2,,1,0,0,10.67,0.5,113.1,0.55,2400,0,0,1,12,21.47468934,2.628945219,35.08527833,21.44
0,1,0,5,4,550,10,NaLa(WO4)2,,1,0,0,8.12,0.5,113.1,0.55,2400,0,0,1,12,13.42,2.699751417,39.5429297,47.18
0,1,0,10,4,550,10,NaLa(WO4)2,,1,0,0,2.64,0.5,113.1,0.55,2400,0,0,1,12,25.964346,2.750112909,46.59033398,42.3
0,0,1,10,2,550,2.5,,,0,0,0,0,0.2,109.455057,0.55,2410.709083,0,0,1,12,13.07,2.724886608,74.38,25.9
0,0,1,10,2,550,2.5,BiOIO3,,1,0,0,16.38,0.2,103.6512269,0.55,2405.011141,0,0,1,12,61.93,2.574090742,28.58,34.1
0,0,1,10,2,550,2.5,BiOIO3,,1,0,0,40.94,0.2,109.4181055,0.55,1495.41354,0,0,1,12,54.22,2.533560059,27.9,40.1
0,0,1,10,2,550,2.5,BiOIO3,,1,0,0,61.42,0.2,109.9584178,0.55,1430.077135,0,0,1,12,52.96,2.502412429,29.72,46.9
0,0,1,10,2,550,2.5,BiOIO3,,1,0,0,81.89,0.2,110.5509307,0.55,1609.174422,0,0,1,12,51.36,2.454961256,42,39.1
0,0,1,10,2,550,2.5,BiOIO3,,1,0,0,163.78,0.2,111.2683523,0.55,1698.649758,0,0,1,12,27.83,2.404856202,45.67,32.5
0,0,1,10,2,550,10,,,0,0,0,0,0.02,95.03,0.55,2402.229661,0,0,1,15,7,2.681378419,55.8,26.94
0,0,1,10,2,550,10,,,0,0,0,0,0.02,95.03,0.55,2278.894404,0,0,1,15,28,2.665351596,36.5,36.43
0,0,1,10,2,550,10,Na,,0,1,0,3.33,0.02,95.03,0.55,2230.047037,0,0,1,15,24,2.672828036,22.61,45.49
0,0,1,10,2,550,10,Na,,0,1,0,6.67,0.02,95.03,0.55,2125.339882,0,0,1,15,24,2.665429863,14.6,52.5
0,0,1,10,2,550,10,Na,,0,1,0,16.67,0.02,95.03,0.55,2252.28049,0,0,1,15,11,2.649974395,13.48,46.62
0,0,1,10,2,550,10,Na,,0,1,0,33.33,0.02,95.03,0.55,2273.582638,0,0,1,15,5,2.608005567,13.29,42.23
0,0,1,10,2,550,10,,,0,0,0,0,0.02,95.03,0.55,1604.304183,0,0,1,15,17.50000469,2.676548102,46.14997805,36.33
0,0,1,10,2,550,10,K,,0,1,0,3.33,0.02,95.03,0.55,1482.030733,0,0,1,15,23.99997694,2.665714389,22.6100619,39.14
0,0,1,10,2,550,10,K,,0,1,0,6.67,0.02,95.03,0.55,1602.5084,0,0,1,15,23.99999543,2.657561394,14.60004238,51.7
0,0,1,10,2,550,10,K,,0,1,0,16.67,0.02,95.03,0.55,1191.516981,0,0,1,15,11.00001981,2.606258825,13.48000556,43.57
0,0,1,10,2,550,10,,,0,0,0,0,0.2,113.1,0.55,2404.975737,0,0,1,15,54.64,2.7,33.18,41.2
0,0,1,10,2,550,10,Mg,,0,1,0,11.9,0.2,113.1,0.55,2402.090683,0,0,1,15,36.79618805,2.618438123,23.01,44.8
0,0,1,10,2,550,10,Mg,,0,1,0,23.8,0.2,113.1,0.55,1856.012938,0,0,1,15,41.39,2.54,22.84,52.3
0,0,1,10,2,550,10,Mg,,0,1,0,35.7,0.2,113.1,0.55,1849.39179,0,0,1,15,44.79533602,2.537804589,37.23,31.5
0,0,1,10,2,550,10,Mg,,0,1,0,47.6,0.2,113.1,0.55,1816.91611,0,0,1,15,41.53077279,2.50760599,42.32,25.2
0,0,1,10,2,550,10,,,0,0,0,0,0.2,113.1,0.55,2403.377666,0,0,1,15,25.43308347,2.72932614,62.33,26.4
0,0,1,10,2,550,10,,,0,0,0,0,0.2,113.1,0.55,2400.383402,0,0,1,30,9.18,2.69056246,43.47258878,19.47
0,0,1,10,2,550,10,,,0,0,0,0,0.2,113.1,0.55,2400.375036,0,0,1,30,37.09,2.6,45.57,34.05
0,0,1,10,2,550,10,CaCO3,,0,1,0,5.64,0.2,113.1,0.55,2365.435065,0,0,1,30,40.64,2.54,38.19,36.43
0,0,1,10,2,550,10,CaCO3,,0,1,0,11.27,0.2,113.1,0.55,2359.630602,0,0,1,30,55.1,2.53,32.09296578,47.24
0,0,1,10,2,550,10,CaCO3,,0,1,0,28.19,0.2,113.1,0.55,1837.404132,0,0,1,30,38.23,2.49,27.23326464,51.18
0,0,1,10,2,550,10,CaCO3,,0,1,0,56.37,0.2,113.1,0.55,1673.556878,0,0,1,30,23.56,2.42,32.1757848,44.74
0,0,1,10,2,550,10,CaCO3,,0,1,0,112.77,0.2,113.1,0.55,1759.211146,0,0,1,30,17.44,2.27,34.4068786,33.32
0,1,0,0.6,4,550,2.3,,,0,0,0,0,0.1,113.1,0.52,2415,0,0,1,12,56.506,2.53,39.39927339,39.76
